"NP","PUMA","TEN","HICOV","POV","SP","HCB","SCHL","RACE"
3,"20204","Owned/Mortgage","2",0,0,18,"C","Black"
2,"20903","Owned/Mortgage","1",0,0,46,"C","White"
1,"20901","Rented","1",0,0,29,"C","Black"
2,"20703","Owned/Free","1",0,0,11,"C","White"
2,"20207","Owned/Mortgage","1",0,0,25,"C","White"
4,"20604","Rented","1",0,0,33,"C","Two or more"
2,"20301","Rented","1",0,1,48,"SC","White"
3,"20901","Owned/Mortgage","1",0,0,21,"HS","Two or more"
4,"20206","Owned/Mortgage","1",0,0,14,"C","Two or more"
1,"20904","Rented","1",0,0,10,"SC","White"
3,"20301","Owned/Mortgage","1",0,0,9,"HS","White"
2,"20802","Owned/Mortgage","1",0,0,13,"C","White"
1,"20601","Rented","1",0,0,37,"C","White"
1,"20701","Rented","1",1,0,50,"SC","Two or more"
3,"20301","Rented","1",0,1,15,"C","White"
4,"20202","Owned/Mortgage","1",0,0,17,"C","White"
2,"20204","Rented","1",0,1,42,"SC","Two or more"
1,"20201","Rented","1",0,0,42,"C","White"
1,"20401","Rented","1",1,0,0,"HS","White"
3,"20603","Rented","1",0,0,14,"C","White"
5,"20901","Owned/Mortgage","1",0,0,21,"C","White"
2,"20100","Owned/Mortgage","1",0,0,2,"HS","White"
3,"20206","Rented","1",0,0,14,"HS","Asian"
2,"20603","Rented","1",0,0,14,"HS","White"
2,"20604","Owned/Free","1",0,0,16,"C","White"
1,"20604","Owned/Free","1",0,0,29,"HS","White"
3,"20402","Owned/Free","1",0,0,11,"C","Asian"
2,"20903","Owned/Mortgage","1",0,0,13,"C","White"
3,"20500","Owned/Mortgage","1",0,0,16,"C","White"
8,"20802","Owned/Free","1",0,0,11,"SC","White"
2,"20902","Owned/Free","1",0,0,1,"C","White"
1,"20402","Owned/Mortgage","1",0,0,15,"HS","White"
7,"20603","Owned/Mortgage","1",0,0,10,"C","Other"
2,"20203","Owned/Mortgage","1",0,0,17,"HS","White"
5,"20100","Owned/Free","1",0,1,20,"HS","White"
5,"20902","Owned/Mortgage","1",0,0,14,"C","White"
1,"20202","Owned/Mortgage","1",1,0,101,"HS","White"
3,"20602","Owned/Free","1",0,0,6,"C","White"
2,"20601","Rented","1",0,0,21,"HS","Black"
1,"20203","Owned/Mortgage","1",0,0,37,"SC","Asian"
1,"20702","Owned/Free","1",0,0,53,"SC","White"
2,"20703","Rented","1",0,0,17,"C","White"
2,"20201","Rented","1",0,1,45,"C","Black"
4,"20204","Rented","1",0,1,18,"C","Other"
1,"20601","Rented","1",0,0,25,"C","White"
3,"20603","Owned/Mortgage","1",0,0,14,"C","White"
1,"20901","Rented","1",0,0,20,"HS","White"
1,"20202","Owned/Free","1",0,0,20,"HS","White"
6,"20702","Owned/Mortgage","1",0,0,39,"SC","Two or more"
3,"20902","Owned/Mortgage","1",0,0,7,"C","Asian"
2,"20801","Rented","1",0,1,20,"SC","Two or more"
1,"20702","Rented","1",0,0,2,"SC","White"
2,"20601","Rented","1",0,0,27,"C","White"
2,"20604","Owned/Free","1",0,0,22,"HS","White"
4,"20205","Owned/Mortgage","1",0,0,8,"C","White"
2,"20500","Rented","1",0,0,17,"SC","White"
3,"20904","Rented","1",1,1,44,"C","Black"
5,"20701","Rented","1",0,1,12,"C","Other"
3,"20402","Owned/Mortgage","1",0,1,55,"C","White"
2,"20904","Owned/Mortgage","1",0,0,20,"C","White"
4,"20500","Owned/Mortgage","1",0,0,28,"C","White"
6,"20206","Owned/Mortgage","1",0,0,29,"HS","Other"
1,"20603","Owned/Free","1",0,0,13,"C","White"
2,"20402","Owned/Mortgage","1",0,0,25,"HS","White"
1,"20205","Rented","1",1,0,64,"SC","White"
1,"20206","Rented","1",0,0,17,"SC","White"
2,"20204","Owned/Free","1",0,0,8,"C","Two or more"
1,"20202","Owned/Mortgage","1",0,0,26,"HS","Black"
1,"20207","Rented","1",0,0,90,"SC","White"
2,"20402","Rented","1",0,0,14,"SC","White"
3,"20207","Owned/Mortgage","2",1,1,23,"C","Asian"
1,"20100","Owned/Mortgage","1",0,0,35,"C","White"
1,"20204","Rented","1",0,0,23,"SC","White"
2,"20603","Rented","1",0,0,77,"SC","Black"
3,"20204","Owned/Mortgage","1",0,1,54,"HS","Black"
3,"20903","Owned/Mortgage","1",0,1,35,"HS","Two or more"
6,"20604","Owned/Mortgage","1",0,0,17,"C","White"
1,"20401","Owned/Mortgage","1",0,0,26,"SC","White"
3,"20205","Rented","1",0,0,13,"SC","Black"
5,"20604","Owned/Mortgage","1",0,0,31,"SC","White"
3,"20904","Owned/Mortgage","1",0,1,38,"C","White"
2,"20902","Owned/Mortgage","1",0,0,15,"C","Other"
2,"20203","Owned/Free","1",0,0,3,"SC","White"
1,"20204","Rented","1",0,0,36,"C","Asian"
1,"20901","Rented","1",0,0,27,"C","White"
2,"20207","Rented","1",0,0,14,"C","White"
2,"20207","Rented","1",0,0,12,"C","White"
2,"20100","Owned/Free","1",0,0,6,"SC","White"
1,"20904","Owned/Mortgage","1",0,0,47,"HS","White"
4,"20100","Rented","1",0,0,60,"SC","White"
1,"20601","Rented","1",0,0,54,"C","White"
2,"20301","Owned/Free","1",0,0,3,"C","White"
2,"20903","Owned/Free","1",0,0,20,"C","White"
1,"20603","Rented","1",0,0,66,"C","White"
1,"20100","Owned/Mortgage","1",0,0,35,"C","White"
2,"20904","Owned/Free","1",0,1,77,"SC","Two or more"
2,"20500","Owned/Mortgage","1",0,0,73,"SC","White"
4,"20100","Occupied","1",0,0,0,"C","White"
2,"20100","Owned/Free","1",0,0,70,"C","White"
2,"20603","Owned/Mortgage","1",0,0,16,"HS","White"
1,"20701","Owned/Mortgage","1",0,0,24,"HS","White"
1,"20204","Owned/Free","1",0,0,14,"HS","White"
2,"20703","Rented","1",0,0,15,"SC","White"
3,"20201","Owned/Mortgage","1",0,0,40,"C","White"
2,"20802","Owned/Free","1",0,0,16,"SC","White"
1,"20500","Owned/Mortgage","1",0,0,101,"HS","White"
3,"20206","Owned/Free","2",0,1,16,"SC","White"
2,"20402","Rented","1",0,1,25,"HS","White"
2,"20207","Rented","1",0,0,12,"HS","White"
5,"20602","Owned/Mortgage","1",0,0,9,"SC","Black"
4,"20205","Owned/Mortgage","1",0,0,18,"C","Black"
1,"20903","Rented","1",0,0,101,"SC","White"
2,"20207","Rented","1",0,1,71,"C","Two or more"
2,"20207","Owned/Mortgage","1",0,0,24,"C","White"
4,"20702","Owned/Mortgage","1",0,0,16,"C","White"
2,"20206","Owned/Mortgage","1",0,0,82,"C","White"
4,"20201","Rented","1",0,0,7,"C","Black"
3,"20201","Owned/Mortgage","1",0,0,59,"C","White"
2,"20500","Owned/Mortgage","1",0,0,101,"C","White"
2,"20204","Rented","1",0,0,31,"HS","White"
2,"20202","Owned/Free","1",0,0,29,"HS","White"
1,"20207","Owned/Mortgage","2",0,0,39,"HS","White"
1,"20100","Owned/Free","1",0,0,18,"HS","White"
4,"20904","Rented","2",0,0,25,"HS","Other"
3,"20901","Owned/Mortgage","1",0,0,19,"C","White"
2,"20603","Rented","1",0,1,17,"HS","Other"
1,"20204","Rented","1",1,0,31,"HS","Black"
5,"20701","Owned/Mortgage","1",0,0,42,"HS","Two or more"
1,"20100","Owned/Free","1",0,0,16,"HS","White"
2,"20601","Rented","1",0,0,21,"SC","Black"
4,"20904","Owned/Mortgage","1",0,0,13,"C","White"
3,"20601","Rented","1",0,0,18,"SC","White"
2,"20402","Owned/Mortgage","1",0,1,22,"SC","White"
1,"20401","Rented","1",0,0,31,"C","Black"
1,"20604","Occupied","1",0,0,0,"C","White"
3,"20205","Owned/Free","1",0,0,9,"HS","White"
5,"20702","Owned/Mortgage","1",0,0,15,"C","White"
2,"20402","Owned/Mortgage","1",0,0,16,"SC","White"
1,"20500","Occupied","1",1,0,0,"HS","White"
8,"20801","Owned/Mortgage","1",0,1,10,"HS","Black"
1,"20500","Rented","1",0,0,47,"SC","White"
1,"20901","Rented","1",1,0,53,"HS","Black"
1,"20500","Rented","2",0,0,39,"HS","White"
1,"20702","Rented","1",0,0,7,"C","White"
4,"20204","Rented","1",1,1,101,"HS","White"
1,"20802","Owned/Free","1",0,0,5,"C","White"
5,"20801","Rented","2",1,0,101,"HS","Black"
1,"20601","Owned/Mortgage","1",0,0,29,"C","Black"
1,"20601","Owned/Mortgage","1",1,0,101,"HS","Black"
5,"20205","Owned/Mortgage","1",0,0,26,"HS","White"
